ID,Vendor,Text
15,Alexa Terms of Use,if you make an amazon processed purchase of or start free trial for subscription your subscription will automatically continue at the applicable subscription price at the end of the free trial period if any and each renewal period unless you notify u before charge that you want to cancel or do not want to automatically renew your subscription you authorize u without notice to you unless required by applicable law to collect the subscription price and any tax using any payment method we have on record for you for any subscription to an amazon service please see the term of use for that service for applicable cancellation pricing and refund term for any amazon processed purchase that is subscription to third party service we or the third party may cancel the subscription at any time for example if the applicable service is no longer available in which case you will receive prorated refund and ii term and price may change from time to time effective a of the beginning of the next subscription term
16,Alexa Terms of Use,alexa also allows you to make donation to eligible charity by voice when you make donation amazon pay will process the donation using your default amazon payment setting and will share your name address and email with the charity
17,Alexa Terms of Use,you can find more information about amazon processed purchase and donation in our alexa and alexa device faq including applicable term return and refund policy and how to cancel subscription
18,Alexa Terms of Use,1 5 automatic voice recognition amp voice profile alexa can automatically recognize the voice of user in your household over time to improve personalization of certain alexa feature you can also create voice profile so alexa can call you by name and do more to personalize your experience when alexa recognizes your voice automatically or when you create voice profile alexa us recording of your voice to create an acoustic model of your voice characteristic if alexa recognizes your voice when you are using third party skill that skill may receive numeric identifier that allows it to distinguish you from other user in your household to better personalize your experience you can turn off automatic voice recognition turn off personalization of third party skill based on recognized voice or delete any voice profile you ve created learn more about voice profile
19,Alexa Terms of Use,2 third party service third party product
20,Alexa Terms of Use,2 1 third party service if you use third party service we may exchange related information with that service such a your zip code when you ask for the weather your custom music station information about your auxiliary product or the content of your request your use of any third party service is subject to this agreement and any third party term applicable to such third party service certain of these third party term can be found in the legal notice section of your alexa app or may be linked from your alexa app and may be updated from time to time if you do not accept the third party term applicable to third party service do not use that third party service when using third party service you are responsible for any information you provide to the third party amazon ha no responsibility or liability for third party service publisher of third party service may change or discontinue the functionality or feature of their third party service
21,Alexa Terms of Use,2 2 third party product alexa enabled product and auxiliary product include third party product that amazon doe not manufacture or develop amazon may automatically update the firmware for certain auxiliary product on behalf of the applicable manufacturer amazon ha no responsibility or liability for such third party product or manufacturer provided firmware
22,Alexa Terms of Use,3 general
23,Alexa Terms of Use,3 1 information the software will provide amazon with information about your use of alexa your alexa interaction and your alexa enabled product and auxiliary product such a device type name feature status network connectivity and location this information may be stored on server outside the country in which you live we will handle any information we receive in accordance with the amazon com privacy notice
24,Alexa Terms of Use,3 2 functionality content we do not guarantee that alexa or it functionality or content including traffic health or stock information is accurate reliable always available or complete you may encounter content through alexa that you find offensive indecent or objectionable amazon ha no responsibility or liability for such content
25,Alexa Terms of Use,3 3 change to alexa amendment we may change suspend or discontinue alexa or any part of it at any time without notice we may amend any of this agreement term at our sole discretion by posting the revised term on the amazon com website your continued use of alexa after the effective date of the revised agreement constitutes your acceptance of the term
26,Alexa Terms of Use,3 4 geographic restriction alexa is operated in the united state we may restrict access to alexa or certain alexa feature from other location
27,Alexa Terms of Use,3 5 termination we may terminate your access to alexa at our discretion without notice except a may be required by applicable law your right under this agreement will automatically terminate without notice if you fail to comply with any of it term in case of such termination amazon may immediately revoke your access to alexa without refund of any fee amazon failure to insist upon or enforce your strict compliance with this agreement will not constitute waiver of any of it right
28,Alexa Terms of Use,3 6 dispute binding arbitration any dispute or claim arising from or relating to this agreement or alexa is subject to the binding arbitration governing law disclaimer of warranty limitation of liability and all other term in the amazon com condition of use by using alexa you agree to be bound by those term
29,Alexa Terms of Use,3 7 disclaimer of warranty and limitation of liability without limiting the disclaimer of warranty and limitation of liability term in the amazon com condition of use and unless otherwise required by applicable law in no event will our or our licensors or our service provider aggregate liability with respect to any claim arising from or relating to this agreement or your use of alexa exceed fifty dollar 50
30,Alexa Terms of Use,3 8 severability if any term or condition of this agreement is deemed invalid void or for any reason unenforceable that part will be deemed severable and will not affect the validity and enforceability of any remaining term or condition
31,Alexa Terms of Use,3 9 contact information for help with alexa or resolving other issue please contact customer service http www amazon com contact u
32,Alexa Terms of Use,alexa communication schedule
33,Alexa Terms of Use,amcs llc amcs an affiliate of amazon may offer you certain alexa related communication service such a the ability to send and receive message and call and connect with other alexa user and the ability to place outbound call to phone number collectively alexa communication this schedule is part of the alexa term of use and you agree to these term when you register for or use alexa communication your use of alexa communication is also subject to the alexa communication usage guideline which are part of this schedule amcs and it affiliate may offer service other than alexa communication which are not covered by this schedule and may be subject to other term
34,Alexa Terms of Use,1 1 general your message communication request g alexa call mom and related interaction are alexa interaction a described in the alexa term of use amazon process and retains your alexa interaction and related information in the cloud in order to respond to your request g send message to mom to provide additional functionality g speech to text transcription and vice versa and to improve our service we also store your message in the cloud so that they re available on your alexa app and select alexa enabled product you can enable enhanced communication feature such a group drop in in the alexa app when enabled we will de crypt process and then re encrypt your audio and video call in the cloud we do not retain the audio or any information about the content of your call you or other call participant may be able to ask alexa to help with certain function during call such a alexa volume up and alexa hang up certain alexa communication service are provided by our third party service provider and we may provide them with information such a telephone number to provide those service alexa communication is only available on select alexa enabled product and feature may vary learn more
35,Alexa Terms of Use,1 2 registration you provide your phone number when registering for alexa communication amcs will verify this number by sending you an sm message carrier charge may apply other user who know your contact detail will be able to contact you using alexa communication your registration name and contact detail may be used to identify you to other user such a when you send message to recipient who doe not already have your contact detail your phone number also may be displayed a caller id on your outbound call to phone number
36,Alexa Terms of Use,1 3 contact amazon will periodically import and store your contact to improve your alexa communication experience amazon us information about your contact and connection including who you communicate with the most to provide and improve our service for example we use this information to identify most likely call recipient g when you ask alexa call bill alexa can better identify which bill you want to contact
37,Alexa Terms of Use,1 4 no access to emergency service alexa communication are not replacement for traditional two way telephone or mobile phone service and do not function a such you acknowledge that you cannot use alexa communication to access emergency service such a 911 alexa communication are not designed or intended to be used to send or receive emergency communication to any police fire department hospital or any other service that connects user to public safety answering point you should ensure you can contact your relevant emergency service provider through mobile landline telephone or other service
38,Alexa Terms of Use,1 5 drop in the optional drop in feature allows permissioned user to instantly connect to your alexa enabled product for voice or video chat without you needing to take any action if you grant drop in permission to yourself anyone in your household also receives drop in permission and if you grant drop in permission to contact anyone in that contact household also receives drop in permission user with drop in permission may see an indicator to let them know if your device ha been recently active this indicator is based on your alexa interaction and motion sensor on echo show learn more
39,Alexa Terms of Use,1 6 fee amcs doe not currently charge fee for alexa communication but reserve the right to place limitation on use of certain service or feature including subscription or other fee you and or the recipient of your call or message may be required to pay carrier fee for data usage amcs ha no responsibility for such fee
