ID,Vendor,Text
30,Alexa Terms of Use,amazon process and retains your alexa interaction such a your voice input music playlist and your alexa to do and shopping list in the cloud to provide personalize and improve our service learn more about alexa including how to delete voice recording associated with your account and manage our use of those voice recording
32,Alexa Terms of Use,1 4 voice purchasing alexa allows voice purchasing of physical and digital product and service including subscription from amazon and other seller using your default amazon payment and shipping setting an amazon processed purchase
33,Alexa Terms of Use,you can require speakable confirmation code turn off all voice purchasing or turn off voice purchasing only in kid skill and see product and order detail for amazon processed purchase in your alexa app learn more
34,Alexa Terms of Use,by default your approval will be required for each voice purchase from amazon through kid skill
35,Alexa Terms of Use,you consent to receive automated text message from u requesting those approval
36,Alexa Terms of Use,to opt out of these automated text message you may change your voice purchasing setting for kid skill in your alexa app
37,Alexa Terms of Use,your voice purchasing setting may not apply to purchase that are not amazon processed purchase such a when you provide credit card directly to the provider of third party service and we are not party to and have no responsibility for those purchase
38,Alexa Terms of Use,amazon processed purchase are subject to the amazon com privacy notice amazon com condition of use and in the case of subscription the term for the applicable service
39,Alexa Terms of Use,if you make an amazon processed purchase of or start free trial for subscription your subscription will automatically continue at the applicable subscription price at the end of the free trial period if any and each renewal period unless you notify u before charge that you want to cancel or do not want to automatically renew your subscription
40,Alexa Terms of Use,you authorize u without notice to you unless required by applicable law to collect the subscription price and any tax using any payment method we have on record for you
41,Alexa Terms of Use,for any subscription to an amazon service please see the term of use for that service for applicable cancellation pricing and refund term
42,Alexa Terms of Use,for any amazon processed purchase that is subscription to third party service we or the third party may cancel the subscription at any time for example if the applicable service is no longer available in which case you will receive prorated refund and ii term and price may change from time to time effective a of the beginning of the next subscription term
43,Alexa Terms of Use,alexa also allows you to make donation to eligible charity by voice
44,Alexa Terms of Use,when you make donation amazon pay will process the donation using your default amazon payment setting and will share your name address and email with the charity
45,Alexa Terms of Use,you can find more information about amazon processed purchase and donation in our alexa and alexa device faq including applicable term return and refund policy and how to cancel subscription
47,Alexa Terms of Use,1 5 automatic voice recognition amp
48,Alexa Terms of Use,voice profile
49,Alexa Terms of Use,alexa can automatically recognize the voice of user in your household over time to improve personalization of certain alexa feature
50,Alexa Terms of Use,you can also create voice profile so alexa can call you by name and do more to personalize your experience
51,Alexa Terms of Use,when alexa recognizes your voice automatically or when you create voice profile alexa us recording of your voice to create an acoustic model of your voice characteristic
52,Alexa Terms of Use,if alexa recognizes your voice when you are using third party skill that skill may receive numeric identifier that allows it to distinguish you from other user in your household to better personalize your experience
53,Alexa Terms of Use,you can turn off automatic voice recognition turn off personalization of third party skill based on recognized voice or delete any voice profile you ve created
54,Alexa Terms of Use,learn more about voice profile
57,Alexa Terms of Use,third party service
58,Alexa Terms of Use,third party product
61,Alexa Terms of Use,2 1 third party service if you use third party service we may exchange related information with that service such a your zip code when you ask for the weather your custom music station information about your auxiliary product or the content of your request
62,Alexa Terms of Use,your use of any third party service is subject to this agreement and any third party term applicable to such third party service
63,Alexa Terms of Use,certain of these third party term can be found in the legal notice section of your alexa app or may be linked from your alexa app and may be updated from time to time
64,Alexa Terms of Use,if you do not accept the third party term applicable to third party service do not use that third party service
65,Alexa Terms of Use,when using third party service you are responsible for any information you provide to the third party
66,Alexa Terms of Use,amazon ha no responsibility or liability for third party service
67,Alexa Terms of Use,publisher of third party service may change or discontinue the functionality or feature of their third party service
69,Alexa Terms of Use,2 2 third party product alexa enabled product and auxiliary product include third party product that amazon doe not manufacture or develop
70,Alexa Terms of Use,amazon may automatically update the firmware for certain auxiliary product on behalf of the applicable manufacturer
71,Alexa Terms of Use,amazon ha no responsibility or liability for such third party product or manufacturer provided firmware
74,Alexa Terms of Use,general
77,Alexa Terms of Use,3 1 information the software will provide amazon with information about your use of alexa your alexa interaction and your alexa enabled product and auxiliary product such a device type name feature status network connectivity and location
78,Alexa Terms of Use,this information may be stored on server outside the country in which you live
79,Alexa Terms of Use,we will handle any information we receive in accordance with the amazon com privacy notice
81,Alexa Terms of Use,3 2 functionality
82,Alexa Terms of Use,content we do not guarantee that alexa or it functionality or content including traffic health or stock information is accurate reliable always available or complete
83,Alexa Terms of Use,you may encounter content through alexa that you find offensive indecent or objectionable
84,Alexa Terms of Use,amazon ha no responsibility or liability for such content
86,Alexa Terms of Use,3 3 change to alexa
87,Alexa Terms of Use,amendment we may change suspend or discontinue alexa or any part of it at any time without notice
88,Alexa Terms of Use,we may amend any of this agreement term at our sole discretion by posting the revised term on the amazon com website
89,Alexa Terms of Use,your continued use of alexa after the effective date of the revised agreement constitutes your acceptance of the term
91,Alexa Terms of Use,3 4 geographic restriction alexa is operated in the united state
92,Alexa Terms of Use,we may restrict access to alexa or certain alexa feature from other location
94,Alexa Terms of Use,3 5 termination we may terminate your access to alexa at our discretion without notice except a may be required by applicable law
95,Alexa Terms of Use,your right under this agreement will automatically terminate without notice if you fail to comply with any of it term
96,Alexa Terms of Use,in case of such termination amazon may immediately revoke your access to alexa without refund of any fee
97,Alexa Terms of Use,amazon failure to insist upon or enforce your strict compliance with this agreement will not constitute waiver of any of it right
99,Alexa Terms of Use,3 6 dispute binding arbitration
