ID,Vendor,Text
16,Facebook Terms of Service,permission to use content you create and share some content that you share or upload such a photo or video may be protected by intellectual property law you own the intellectual property right thing like copyright or trademark in any such content that you create and share on facebook and the other facebook company product you use nothing in these term take away the right you have to your own content you are free to share your content with anyone else wherever you want however to provide our service we need you to give u some legal permission known a license to use this content this is solely for the purpose of providing and improving our product and service a described in section 1 above specifically when you share post or upload content that is covered by intellectual property right on or in connection with our product you grant u non exclusive transferable sub licensable royalty free and worldwide license to host use distribute modify run copy publicly perform or display translate and create derivative work of your content consistent with your privacy and application setting this mean for example that if you share photo on facebook you give u permission to store copy and share it with others again consistent with your setting such a service provider that support our service or other facebook product you use this license will end when your content is deleted from our system you can delete content individually or all at once by deleting your account learn more about how to delete your account you can download copy of your data at any time before deleting your account when you delete content it no longer visible to other user however it may continue to exist elsewhere on our system where
17,Facebook Terms of Service,immediate deletion is not possible due to technical limitation in which case your content will be deleted within maximum of 90 day from when you delete it
18,Facebook Terms of Service,your content ha been used by others in accordance with this license and they have not deleted it in which case this license will continue to apply until that content is deleted or
19,Facebook Terms of Service,where immediate deletion would restrict our ability to
20,Facebook Terms of Service,investigate or identify illegal activity or violation of our term and policy for example to identify or investigate misuse of our product or system
21,Facebook Terms of Service,comply with legal obligation such a the preservation of evidence or
22,Facebook Terms of Service,comply with request of judicial or administrative authority law enforcement or government agency in which case the content will be retained for no longer than is necessary for the purpose for which it ha been retained the exact duration will vary on case by case basis in each of the above case this license will continue until the content ha been fully deleted
23,Facebook Terms of Service,permission to use your name profile picture and information about your action with ad and sponsored content you give u permission to use your name and profile picture and information about action you have taken on facebook next to or in connection with ad offer and other sponsored content that we display across our product without any compensation to you for example we may show your friend that you are interested in an advertised event or have liked page created by brand that ha paid u to display it ad on facebook ad like this can be seen only by people who have your permission to see the action you ve taken on facebook you can learn more about your ad setting and preference
24,Facebook Terms of Service,permission to update software you use or download if you download or use our software you give u permission to download and install update to the software where available 4 limit on using our intellectual property if you use content covered by intellectual property right that we have and make available in our product for example image design video or sound we provide that you add to content you create or share on facebook we retain all right to that content but not yours you can only use our copyright or trademark or any similar mark a expressly permitted by our brand usage guideline or with our prior written permission you must obtain our written permission or permission under an open source license to modify create derivative work of decompile or otherwise attempt to extract source code from u return to top 4 additional provision 1 updating our term we work constantly to improve our service and develop new feature to make our product better for you and our community a result we may need to update these term from time to time to accurately reflect our service and practice unless otherwise required by law we will notify you before we make change to these term and give you an opportunity to review them before they go into effect once any updated term are in effect you will be bound by them if you continue to use our product we hope that you will continue using our product but if you do not agree to our updated term and no longer want to be part of the facebook community you can delete your account at any time 2 account suspension or termination we want facebook to be place where people feel welcome and safe to express themselves and share their thought and idea if we determine that you have clearly seriously or repeatedly breached our term or policy including in particular our community standard we may suspend or permanently disable access to your account we may also suspend or disable your account if you repeatedly infringe other people intellectual property right or where we are required to do so for legal reason where we take such action we ll let you know and explain any option you have to request review unless doing so may expose u or others to legal liability harm our community of user compromise or interfere with the integrity or operation of any of our service system or product or where we are restricted due to technical limitation or where we are prohibited from doing so for legal reason you can learn more about what you can do if your account ha been disabled and how to contact u if you think we have disabled your account by mistake if you delete or we disable your account these term shall terminate a an agreement between you and u but the following provision will remain in place 3 4 2 4 5 3 limit on liability we work hard to provide the best product we can and to specify clear guideline for everyone who us them our product however are provided a is and we make no guarantee that they always will be safe secure or error free or that they will function without disruption delay or imperfection to the extent permitted by law we also disclaim all warranty whether express or implied including the implied warranty of merchantability fitness for particular purpose title and non infringement we do not control or direct what people and others do or say and we are not responsible for their action or conduct whether online or offline or any content they share including offensive inappropriate obscene unlawful and other objectionable content we cannot predict when issue might arise with our product accordingly our liability shall be limited to the fullest extent permitted by applicable law and under no circumstance will we be liable to you for any lost profit revenue information or data or consequential special indirect exemplary punitive or incidental damage arising out of or related to these term or the facebook product even if we have been advised of the possibility of such damage our aggregate liability arising out of or relating to these term or the facebook product will not exceed the greater of 100 or the amount you have paid u in the past twelve month 4 dispute we try to provide clear rule so that we can limit or hopefully avoid dispute between you and u if dispute doe arise however it useful to know up front where it can be resolved and what law will apply for any claim cause of action or dispute you have against u that arises out of or relates to these term or the facebook product claim you agree that it will be resolved exclusively in the s district court for the northern district of california or state court located in san mateo county you also agree to submit to the personal jurisdiction of either of these court for the purpose of litigating any such claim and that the law of the state of california will govern these term and any claim without regard to conflict of law provision 5 other
25,Facebook Terms of Service,these term formerly known a the statement of right and responsibility make up the entire agreement between you and facebook inc regarding your use of our product they supersede any prior agreement
26,Facebook Terms of Service,some of the product we offer are also governed by supplemental term if you use any of those product supplemental term will be made available and will become part of our agreement with you for instance if you access or use our product for commercial or business purpose such a buying ad selling product developing apps managing group or page for your business or using our measurement service you must agree to our commercial term if you post or share content containing music you must comply with our music guideline to the extent any supplemental term conflict with these term the supplemental term shall govern to the extent of the conflict
27,Facebook Terms of Service,if any portion of these term is found to be unenforceable the remaining portion will remain in full force and effect if we fail to enforce any of these term it will not be considered waiver any amendment to or waiver of these term must be made in writing and signed by u
28,Facebook Terms of Service,you will not transfer any of your right or obligation under these term to anyone else without our consent
29,Facebook Terms of Service,you may designate person called legacy contact to manage your account if it is memorialized only your legacy contact or person who you have identified in valid will or similar document expressing clear consent to disclose your content upon death or incapacity will be able to seek disclosure from your account after it is memorialized
30,Facebook Terms of Service,these term do not confer any third party beneficiary right all of our right and obligation under these term are freely assignable by u in connection with merger acquisition or sale of asset or by operation of law or otherwise
31,Facebook Terms of Service,you should know that we may need to change the username for your account in certain circumstance for example if someone else claim the username and it appears unrelated to the name you use in everyday life
32,Facebook Terms of Service,we always appreciate your feedback and other suggestion about our product and service but you should know that we may use them without any restriction or obligation to compensate you and we are under no obligation to keep them confidential
33,Facebook Terms of Service,we reserve all right not expressly granted to you return to top 5 other term and policy that may apply to you
34,Facebook Terms of Service,community standard these guideline outline our standard regarding the content you post to facebook and your activity on facebook and other facebook product
35,Facebook Terms of Service,commercial term these term apply if you also access or use our product for any commercial or business purpose including advertising operating an app on our platform using our measurement service managing group or page for business or selling good or service
36,Facebook Terms of Service,advertising policy these policy specify what type of ad content are allowed by partner who advertise across the facebook product
37,Facebook Terms of Service,self serve ad term these term apply when you use self serve advertising interface to create submit or deliver advertising or other commercial or sponsored activity or content
38,Facebook Terms of Service,page group and event policy these guideline apply if you create or administer facebook page group or event or if you use facebook to communicate or administer promotion
39,Facebook Terms of Service,facebook platform policy these guideline outline the policy that apply to your use of our platform for example for developer or operator of platform application or website or if you use social plugins
40,Facebook Terms of Service,developer payment term these term apply to developer of application that use facebook payment
41,Facebook Terms of Service,community payment term these term apply to payment made on or through facebook
42,Facebook Terms of Service,commerce policy these guideline outline the policy that apply when you offer product and service for sale on facebook
43,Facebook Terms of Service,facebook brand resource these guideline outline the policy that apply to use of facebook trademark logo and screenshots
44,Facebook Terms of Service,music guideline these guideline outline the policy that apply if you post or share content containing music on facebook
45,Facebook Terms of Service,live policy these policy apply to all content broadcast to facebook through facebook live date of last revision october 22 2020
